ID,latitude,longitude
1230,48.157805,11.568374
1231,48.157805,11.568374
1233,48.157958,11.566814
1237,48.157311,11.572257
1238,48.157311,11.572257
1239,48.158105,11.566
1240,48.158145,11.565604
1241,48.158145,11.565604
1242,48.158176,11.565308
1243,48.158176,11.565308
1245,48.158176,11.565308
1246,48.158176,11.565308
1247,48.158176,11.565308
1249,48.15816,11.565175
1253,48.15816,11.565175
1255,48.158194,11.565093
1256,48.158194,11.565093
1258,48.157048,11.571675
1264,48.15821,11.562414
1267,48.15821,11.562414
1268,48.15821,11.562414
1269,48.15821,11.562414
1274,48.158436,11.563329
1276,48.158336,11.560635
1278,48.158385,11.561505
1287,48.15865,11.561614
1289,48.15865,11.561614
1290,48.157371,11.571672
1291,48.157213,11.570706
1293,48.142706,11.492753
1294,48.142706,11.492753
1295,48.142691,11.493215
1296,48.142367,11.493154
1297,48.139794,11.492205
1298,48.139794,11.492205
1300,48.138661,11.491741
1301,48.136657,11.491153
1302,48.139013,11.492464
1303,48.139013,11.492464
1304,48.139013,11.492464
1305,48.139013,11.492464
1306,48.136526,11.490894
1307,48.136526,11.490894
1309,48.143336,11.49317
1310,48.136806,11.491625
1312,48.136718,11.491453
1316,48.136718,11.491453
1317,48.136718,11.491453
1318,48.136718,11.491453
1319,48.143054,11.492999
1320,48.135768,11.491301
1321,48.135768,11.491301
1322,48.135175,11.49124
1323,48.135175,11.49124
1324,48.143054,11.492999
1327,48.08583,11.673025
1336,48.10004,11.580091
1348,48.155017,11.524366
1349,48.10798,11.519807
1350,48.10798,11.519807
1351,48.10798,11.519807
1352,48.107416,11.517623
1353,48.107416,11.517623
1354,48.107416,11.517623
1372,48.102049,11.524717
1373,48.09317,11.522233
1374,48.09317,11.522233
1375,48.092575,11.521813
1376,48.092575,11.521813
1378,48.092575,11.521813
1379,48.091948,11.52212
1381,48.091747,11.522059
1382,48.091747,11.522059
1383,48.091747,11.522059
1384,48.091747,11.522059
1385,48.091357,11.521828
1386,48.091357,11.521828
1387,48.091955,11.521533
1389,48.091955,11.521533
1390,48.091955,11.521533
1391,48.091955,11.521533
1392,48.091955,11.521533
1393,48.091955,11.521533
1394,48.091955,11.521533
1395,48.091955,11.521533
1398,48.091412,11.521321
1399,48.091412,11.521321
1400,48.091,11.521655
1401,48.091,11.521655
1402,48.090925,11.521607
1403,48.091195,11.521174
1404,48.091195,11.521174
1405,48.090879,11.520975
1406,48.090879,11.520975
1409,48.090737,11.5209
1411,48.090063,11.521222
1412,48.090063,11.521222
1413,48.090063,11.521222
1414,48.090063,11.521222
1415,48.090063,11.521222
1416,48.08994,11.52116
1417,48.08994,11.52116
1420,48.089146,11.520767
1421,48.089146,11.520767
1423,48.088996,11.520705
1424,48.088996,11.520705
1425,48.088996,11.520705
1426,48.088996,11.520705
1428,48.089195,11.520093
1429,48.089195,11.520093
1430,48.089195,11.520093
1431,48.088858,11.520573
1433,48.088858,11.520573
1437,48.088667,11.519877
1438,48.087757,11.519414
1439,48.087757,11.519414
1442,48.087304,11.51996
1443,48.087304,11.51996
1444,48.087304,11.51996
1445,48.087304,11.51996
1447,48.087034,11.519721
1448,48.087034,11.519721
1450,48.086807,11.519628
1451,48.086807,11.519628
1452,48.086807,11.519628
1453,48.086807,11.519628
1455,48.084942,11.518658
1456,48.084942,11.518658
1457,48.084942,11.518658
1458,48.084942,11.518658
1459,48.084942,11.518658
1460,48.084942,11.518658
1461,48.084942,11.518658
1462,48.084942,11.518658
1463,48.084942,11.518658
1465,48.084037,11.518287
1467,48.084037,11.518287
1469,48.09601,11.52239
1471,48.096086,11.523179
1472,48.095788,11.523178
1473,48.095731,11.523122
1474,48.095731,11.523122
1476,48.095506,11.523143
1477,48.095506,11.523143
1481,48.093352,11.522286
1482,48.093352,11.522286
1487,48.116521,11.578856
1488,48.116161,11.579038
1489,48.116161,11.579038
1490,48.118168,11.579277
1493,48.130831,11.507763
1494,48.130831,11.507763
1495,48.131607,11.497945
1498,48.131561,11.497687
1499,48.131591,11.497507
1500,48.131591,11.497507
1501,48.132116,11.496638
1502,48.132116,11.496638
1503,48.132116,11.496638
1506,48.131149,11.506377
1507,48.131149,11.506377
1509,48.13118,11.50828
1510,48.130831,11.507763
1511,48.131122,11.503964
1512,48.131128,11.503652
1513,48.131128,11.503652
1514,48.131128,11.503652
1515,48.13085,11.50389
1516,48.130628,11.503747
1517,48.130628,11.503747
1518,48.13052,11.503652
1519,48.131175,11.502185
1520,48.131201,11.501987
1529,48.131313,11.499118
1530,48.131313,11.499118
1537,48.158674,11.579731
1539,48.158674,11.579731
1544,48.159001,11.580382
1545,48.159001,11.580382
1546,48.159001,11.580382
1547,48.158765,11.578841
1548,48.158765,11.578841
1549,48.158765,11.578841
1550,48.158765,11.578841
1552,48.158765,11.578841
1553,48.158765,11.578841
1554,48.158765,11.578841
1557,48.159013,11.579676
1558,48.159013,11.579676
1559,48.159013,11.579676
1560,48.158857,11.578393
1562,48.158857,11.578393
1563,48.158857,11.578393
1564,48.158857,11.578393
